Etat,Milieage,Carburant,CarVendeur,Portes,seats,CarNameV2,Modele,Price,etatCategory,Month,Year,Puissance,TransmissionV2,Cylindrée,Vitesses,Cylindres,HorsePower,ClasseEmission,Typedecarburant,Consommationdecarburant,ÉmissionsdeCO2
Très bon prix,175000,Essence,Professionnel,5.0,5.0,Mercedes,GLA 200,109505,3,3.0,2015.0,115.0,Boîte manuelle,1595.0,1.0,1395.0,156.0,Euro 6,Essence,5.8,134.0
Très bon prix,26016,Diesel,Professionnel,5.0,5.0,Mercedes,A 180,2289015,3,11.0,2022.0,85.0,Boîte manuelle,1950.0,8.0,,116.0,,Diesel,,126.0
Bon prix,33076,Diesel,Professionnel,5.0,4.0,Mercedes,C 200,199005,2,6.0,2015.0,100.0,Boîte manuelle,1598.0,1.0,1485.0,136.0,Euro 6,Diesel,3.9,
Prix correct,105580,Diesel,Professionnel,5.0,4.0,Mercedes,C 200,168505,1,2.0,2015.0,100.0,Boîte manuelle,1598.0,1.0,1485.0,136.0,Euro 6,Diesel,3.9,101.0
Prix correct,64000,Essence,Professionnel,5.0,5.0,Mercedes,A 180,285005,1,11.0,2020.0,100.0,Boîte automatique,1332.0,1.0,1365.0,136.0,Euro 6d,Essence,5.3,122.0
Très bon prix,92417,Diesel,Professionnel,5.0,5.0,Mercedes,GLB 180,2749515,3,1.0,2021.0,85.0,Boîte automatique,1950.0,8.0,1725.0,116.0,Euro 6d,Diesel,5.6,146.0
Bon prix,77378,Diesel,Professionnel,5.0,5.0,Mercedes,CLA 180,249955,2,3.0,2020.0,85.0,Boîte automatique,1461.0,8.0,1420.0,116.0,Euro 6d,Diesel,3.9,104.0
Bon prix,19870,Electrique/Essence,Professionnel,5.0,5.0,Mercedes,A 250,2599515,2,10.0,2020.0,160.0,Boîte automatique,1332.0,1.0,1715.0,218.0,Euro 6d,Électrique,1.0,23.0
Prix correct,45000,Diesel,Professionnel,5.0,4.0,Mercedes,CLA 180,369505,1,1.0,2024.0,85.0,Boîte automatique,1950.0,8.0,1595.0,116.0,Euro 6d,Diesel,,133.0
Très bon prix,10171,Electrique,Professionnel,5.0,5.0,Mercedes,EQB 250,3650015,3,9.0,2023.0,140.0,Boîte automatique,,1.0,,190.0,Euro 6,,,0.0
Très bon prix,45000,Diesel,Professionnel,5.0,5.0,Mercedes,B 180,134905,3,10.0,2016.0,80.0,Boîte manuelle,1461.0,8.0,1395.0,109.0,Euro 6,Diesel,,104.0
Pas d'information,104925,Electrique/Diesel,Professionnel,5.0,4.0,Mercedes,S 300,368905,0,4.0,2015.0,,Boîte automatique,2143.0,2.0,,,,Électrique,,99.0
Pas d'information,77000,Electrique/Diesel,Professionnel,5.0,5.0,Mercedes,E 300,2599015,0,8.0,2019.0,143.0,Boîte automatique,1950.0,1.0,2140.0,194.0,Euro 6,Électrique,,42.0
Très bon prix,69436,Electrique,Professionnel,5.0,5.0,Mercedes,EQC 400,349905,3,11.0,2020.0,300.0,,,3.0,,408.0,,,,0.0
Bon prix,54700,Diesel,Professionnel,5.0,5.0,Mercedes,GLC 300,4150015,2,3.0,2021.0,143.0,Boîte automatique,1950.0,1.0,2135.0,194.0,Euro 6d,Diesel,1.9,48.0
Prix correct,55641,Essence,Professionnel,5.0,5.0,Mercedes,GLA 180,249955,1,2.0,2019.0,90.0,Boîte automatique,1595.0,9.0,1435.0,122.0,Euro 6d,,6.3,144.0
Prix correct,117950,Essence,Professionnel,2.0,2.0,Mercedes,SLK 200,159505,1,10.0,2011.0,135.0,Boîte manuelle,1796.0,1.0,1435.0,184.0,Euro 5,,6.4,149.0
