Etat,Milieage,Carburant,CarVendeur,Portes,seats,CarNameV2,Modele,Price,etatCategory,Month,Year,Puissance,TransmissionV2,Cylindrée,Vitesses,Cylindres,HorsePower,ClasseEmission,Typedecarburant,Consommationdecarburant,ÉmissionsdeCO2
Pas d'information,195493,Essence,Professionnel,4.0,2.0,Porsche,911,699955,0,1.0,2014.0,294.0,Boîte automatique,3800.0,2.0,1540.0,400.0,Euro 5,Essence,9.1,215.0
Très bon prix,72534,Essence,Professionnel,4.0,5.0,Porsche,Panamera,649005,3,4.0,2019.0,243.0,Boîte automatique,2995.0,2.0,2050.0,330.0,Euro 6b,Essence,7.8,178.0
Très bon prix,21000,Essence,Professionnel,2.0,2.0,Porsche,Cayman,999005,3,2.0,2020.0,309.0,Boîte manuelle,3995.0,3.0,1495.0,420.0,Euro 6,,10.9,249.0
Prix correct,27202,Electrique/Essence,Professionnel,5.0,5.0,Porsche,Cayenne,9245015,1,5.0,2023.0,340.0,Boîte automatique,2995.0,3.0,2360.0,462.0,Euro 6d,Électrique,2.6,60.0
Pas d'information,38000,Essence,Professionnel,4.0,2.0,Porsche,991,1030005,0,7.0,2016.0,309.0,Boîte automatique,2981.0,3.0,1510.0,420.0,Euro 6,Essence,,180.0
Très bon prix,143662,Essence,Professionnel,5.0,5.0,Porsche,Cayenne,479955,3,10.0,2018.0,324.0,Boîte automatique,2894.0,3.0,2095.0,441.0,Euro 6b,,9.4,213.0
Bon prix,25154,Essence,Professionnel,4.0,5.0,Porsche,Cayenne,10499515,2,1.0,2024.0,260.0,Boîte automatique,2995.0,2.0,2160.0,354.0,Euro 6e,Essence,,248.0
Prix correct,239000,Electrique/Essence,Professionnel,5.0,5.0,Porsche,Cayenne,389505,1,10.0,2019.0,250.0,Boîte automatique,2995.0,2.0,2295.0,340.0,,Électrique,,
Pas d'information,17530,Essence,Professionnel,4.0,2.0,Porsche,911,1799905,0,1.0,2023.0,353.0,Boîte automatique,2981.0,3.0,,480.0,Euro 6,Essence,,251.0
Pas d'information,29437,Essence,Professionnel,4.0,2.0,Porsche,911,15500015,0,6.0,2022.0,353.0,Boîte automatique,2981.0,3.0,1740.0,480.0,Euro 6d,Essence,,226.0
Pas d'information,103477,Essence,Professionnel,4.0,2.0,Porsche,996,549505,0,8.0,2003.0,235.0,Boîte manuelle,3596.0,2.0,1370.0,320.0,Euro 3,Essence,,
Pas d'information,13112,Essence,Professionnel,4.0,2.0,Porsche,911,24995015,0,4.0,2022.0,478.0,Boîte automatique,3745.0,4.0,,650.0,Euro 6d,Essence,11.1,272.0
Pas d'information,91219,Essence,Professionnel,5.0,5.0,Porsche,Cayenne,549505,0,5.0,2018.0,250.0,Boîte automatique,2995.0,2.0,2060.0,340.0,Euro 6b,Essence,9.2,205.0
Bon prix,98000,Essence,Professionnel,5.0,5.0,Porsche,Macan,479505,2,1.0,2020.0,180.0,Boîte automatique,1984.0,1.0,1795.0,245.0,Euro 6d,Essence,8.2,186.0
Prix correct,118896,Essence,Professionnel,2.0,2.0,Porsche,Boxster,269905,1,7.0,2005.0,176.0,Boîte manuelle,2688.0,1.0,1295.0,239.0,Euro 4,,9.6,229.0
Prix correct,186688,Diesel,Professionnel,5.0,4.0,Porsche,Macan,289905,1,4.0,2016.0,190.0,Boîte automatique,2967.0,1.0,,258.0,Euro 6,Diesel,,161.0
Pas d'information,25751,Essence,Professionnel,4.0,2.0,Porsche,991,1149505,0,2.0,2019.0,272.0,Boîte automatique,2981.0,2.0,1520.0,370.0,Euro 6d,,8.5,193.0
Très bon prix,,Electrique,Professionnel,5.0,5.0,Porsche,Macan,8385915,3,,,265.0,Boîte automatique,,2.0,2295.0,360.0,,Électrique,,0.0
Pas d'information,189712,Essence,Professionnel,4.0,2.0,Porsche,996,299505,0,2.0,2001.0,221.0,Boîte automatique,3387.0,2.0,1420.0,300.0,Euro 3,Essence,12.4,304.0
Très bon prix,112581,Essence,Professionnel,5.0,5.0,Porsche,Cayenne,475005,3,3.0,2019.0,250.0,Boîte automatique,2995.0,2.0,,340.0,Euro 6,Essence,,207.0
Très bon prix,3100,Essence,Professionnel,2.0,2.0,Porsche,718,736505,3,5.0,2023.0,221.0,Boîte manuelle,1988.0,2.0,1335.0,300.0,Euro 6d,Essence,,213.0
Prix correct,43000,Essence,Professionnel,5.0,5.0,Porsche,Cayenne,7599915,1,8.0,2019.0,250.0,Boîte automatique,2995.0,2.0,2105.0,340.0,Euro 6d,Essence,9.5,217.0
Prix correct,59990,Electrique,Professionnel,5.0,4.0,Porsche,Taycan,6550015,1,7.0,2020.0,360.0,Boîte automatique,,3.0,2215.0,489.0,Euro 6d,Électrique,,0.0
Très bon prix,66000,Essence,Professionnel,2.0,2.0,Porsche,Boxster,519995,3,9.0,2017.0,220.0,Boîte automatique,1988.0,2.0,1440.0,299.0,Euro 6b,Essence,6.9,158.0
Pas d'information,290520,Essence,Professionnel,4.0,2.0,Porsche,964,599955,0,9.0,1992.0,184.0,Boîte manuelle,3600.0,1.0,,250.0,,Essence,,
Pas d'information,65851,Essence,Professionnel,4.0,2.0,Porsche,911,1250005,0,5.0,2017.0,331.0,Boîte automatique,2981.0,3.0,,450.0,Euro 6c,Essence,8.7,196.0
Prix correct,29986,Electrique/Essence,Professionnel,5.0,5.0,Porsche,Cayenne,12499515,1,1.0,2024.0,346.0,Boîte automatique,2995.0,3.0,2130.0,470.0,Euro 6e,Électrique,1.6,37.0
Pas d'information,24800,Essence,Professionnel,4.0,2.0,Porsche,911,17499215,0,5.0,2024.0,353.0,Boîte automatique,2981.0,3.0,1670.0,480.0,Euro 6d,Essence,,250.0
Prix correct,113055,Essence,Professionnel,2.0,2.0,Porsche,Cayman,299905,1,7.0,2007.0,155.0,Boîte automatique,2687.0,1.0,1300.0,211.0,,Essence,10.1,242.0
Pas d'information,12500,Essence,Professionnel,2.0,2.0,Porsche,718 Spyder,1150005,0,3.0,2022.0,309.0,Boîte automatique,3995.0,3.0,1525.0,420.0,Euro 6d,Essence,,
Bon prix,22327,Essence,Professionnel,4.0,5.0,Porsche,Cayenne,16995015,2,1.0,2022.0,471.0,Boîte automatique,3996.0,4.0,2275.0,640.0,Euro 6d,Essence,11.9,271.0
Bon prix,11254,Electrique,Professionnel,5.0,5.0,Porsche,Taycan,9990015,2,10.0,2023.0,440.0,Boîte automatique,1.0,4.0,2245.0,598.0,Euro 6d,Électrique,,0.0
Bon prix,148720,Electrique/Essence,Professionnel,5.0,5.0,Porsche,Panamera,5399015,2,4.0,2018.0,243.0,Boîte automatique,2995.0,2.0,1955.0,330.0,Euro 6b,Électrique,4.2,56.0
Pas d'information,63766,Essence,Professionnel,4.0,2.0,Porsche,911,10299915,0,8.0,2018.0,272.0,Boîte automatique,2981.0,2.0,1520.0,370.0,Euro 6d,Essence,8.5,193.0
Très bon prix,82778,Essence,Professionnel,2.0,2.0,Porsche,718,449995,3,6.0,2018.0,220.0,Boîte automatique,1988.0,2.0,1440.0,299.0,Euro 6c,Essence,6.9,158.0
Pas d'information,63097,Essence,Professionnel,4.0,2.0,Porsche,992,1399505,0,1.0,2020.0,331.0,Boîte automatique,2981.0,3.0,1585.0,450.0,Euro 6d,Essence,,207.0
Prix correct,149786,Electrique/Essence,Professionnel,5.0,4.0,Porsche,Cayenne,499905,1,8.0,2018.0,250.0,Boîte automatique,2995.0,2.0,,340.0,Euro 6,Électrique,,72.0
Pas d'information,1670,Essence,Professionnel,4.0,2.0,Porsche,930,1399005,0,6.0,1977.0,191.0,Boîte manuelle,2995.0,1.0,1140.0,260.0,,Essence,,
Bon prix,50789,Electrique,Professionnel,5.0,4.0,Porsche,Taycan,8699515,2,12.0,2022.0,440.0,Boîte automatique,,4.0,2310.0,598.0,,Électrique,,0.0
Bon prix,51278,Essence,Professionnel,5.0,5.0,Porsche,Macan,529905,2,10.0,2021.0,180.0,Boîte automatique,1984.0,1.0,,245.0,Euro 6d,Essence,8.2,186.0
Pas d'information,6544,Essence,Professionnel,2.0,2.0,Porsche,992,2199905,0,7.0,2022.0,375.0,Boîte automatique,3996.0,3.0,1435.0,510.0,Euro 6d,,12.4,283.0
Bon prix,4800,Electrique,Professionnel,5.0,5.0,Porsche,Macan,9499515,2,9.0,2024.0,300.0,,,3.0,,408.0,,,,0.0
Pas d'information,10685,Essence,Professionnel,4.0,2.0,Porsche,911,21495015,0,3.0,2022.0,375.0,Boîte manuelle,3996.0,3.0,1640.0,510.0,Euro 6d,Essence,,284.0
Pas d'information,6000,Electrique,Professionnel,4.0,5.0,Porsche,Taycan,12390015,0,5.0,2024.0,320.0,Boîte automatique,,3.0,2355.0,435.0,,Électrique,,0.0
Pas d'information,120204,Essence,Professionnel,4.0,2.0,Porsche,991,759905,0,10.0,2015.0,257.0,Boîte automatique,3436.0,2.0,1470.0,349.0,Euro 5,,8.4,198.0
Pas d'information,4266,Essence,Professionnel,2.0,2.0,Porsche,992,2099115,0,8.0,2023.0,375.0,Boîte manuelle,3996.0,3.0,1435.0,510.0,Euro 6d,Essence,12.4,283.0
Bon prix,74814,Electrique/Essence,Professionnel,5.0,5.0,Porsche,Panamera,5998015,2,2.0,2018.0,340.0,Boîte automatique,2894.0,3.0,2265.0,462.0,Euro 6b,Électrique,2.5,59.0
Pas d'information,102998,Electrique/Essence,Professionnel,4.0,5.0,Porsche,Panamera,674955,0,3.0,2019.0,243.0,Boîte automatique,2894.0,2.0,2265.0,330.0,Euro 6,Électrique,2.5,59.0
Pas d'information,82294,Essence,Professionnel,4.0,2.0,Porsche,911,859995,0,7.0,2011.0,283.0,Boîte manuelle,3800.0,2.0,1540.0,385.0,Euro 4,Essence,11.0,259.0
Prix correct,23743,Electrique,Professionnel,5.0,4.0,Porsche,Taycan,9999515,1,7.0,2023.0,440.0,Boîte automatique,,4.0,2295.0,598.0,,Électrique,,0.0
Prix correct,82143,Electrique/Essence,Professionnel,5.0,5.0,Porsche,Cayenne,7500015,1,1.0,2021.0,340.0,Boîte automatique,2995.0,3.0,2060.0,462.0,Euro 6d,Électrique,9.4,73.0
Pas d'information,87700,Essence,Professionnel,4.0,2.0,Porsche,911,699005,0,9.0,1983.0,150.0,Boîte manuelle,2294.0,1.0,,204.0,,Essence,,
Bon prix,107722,Essence,Professionnel,2.0,2.0,Porsche,997,1039995,2,10.0,2011.0,390.0,Boîte automatique,3800.0,3.0,1670.0,530.0,Euro 5,Essence,11.5,270.0
Bon prix,169990,Diesel,Professionnel,5.0,5.0,Porsche,Cayenne,209905,2,1.0,2011.0,176.0,Boîte automatique,2967.0,1.0,2175.0,239.0,Euro 5,Diesel,7.4,195.0
Très bon prix,169980,Diesel,Professionnel,4.0,5.0,Porsche,Panamera,279505,3,2.0,2014.0,221.0,Boîte automatique,2967.0,2.0,1880.0,300.0,Euro 6b,Diesel,6.4,169.0
Prix correct,28460,Electrique,Professionnel,4.0,4.0,Porsche,Taycan,9499015,1,6.0,2023.0,440.0,Boîte automatique,,4.0,2295.0,598.0,Euro 6,Électrique,,0.0
Pas d'information,145200,Essence,Professionnel,4.0,2.0,Porsche,993,1099955,0,9.0,1997.0,210.0,Boîte automatique,3600.0,2.0,,286.0,,Essence,,
Pas d'information,159885,Essence,Professionnel,4.0,2.0,Porsche,993,899505,0,3.0,1994.0,200.0,Boîte automatique,3600.0,2.0,,272.0,,Essence,,320.0
Pas d'information,30068,Essence,Professionnel,4.0,2.0,Porsche,992,1399955,0,7.0,2019.0,331.0,Boîte automatique,2981.0,3.0,1635.0,450.0,Euro 6d,Essence,9.9,225.0
Pas d'information,108300,Essence,Professionnel,4.0,2.0,Porsche,996,344505,0,4.0,2004.0,235.0,Boîte manuelle,3596.0,2.0,1565.0,320.0,Euro 3,Essence,11.4,227.0
Prix correct,36460,Essence,Professionnel,2.0,2.0,Porsche,718,649905,1,6.0,2019.0,220.0,Boîte automatique,1988.0,2.0,1455.0,299.0,Euro 6d,Essence,8.1,185.0
Prix correct,108957,Electrique/Essence,Professionnel,5.0,4.0,Porsche,Cayenne,5499015,1,8.0,2018.0,250.0,Boîte automatique,2995.0,2.0,,340.0,Euro 6,Électrique,,72.0
Très bon prix,44704,Electrique,Professionnel,4.0,5.0,Porsche,Taycan,6499515,3,6.0,2022.0,280.0,Boîte automatique,,2.0,2245.0,381.0,,Électrique,,0.0
Bon prix,59800,Essence,Professionnel,2.0,2.0,Porsche,Cayman,489815,2,3.0,2013.0,202.0,Boîte automatique,2706.0,2.0,1415.0,275.0,Euro 5,Essence,7.7,180.0
Bon prix,22500,Electrique,Professionnel,5.0,4.0,Porsche,Taycan,9999515,2,6.0,2023.0,440.0,Boîte automatique,,4.0,2295.0,598.0,,Électrique,,0.0
Prix correct,9,Essence,Professionnel,5.0,5.0,Porsche,Cayenne,16390015,1,,,382.0,Boîte automatique,2995.0,3.0,2160.0,519.0,Euro 6e,Essence,,35.0
Très bon prix,40723,Electrique,Professionnel,4.0,5.0,Porsche,Taycan,6475015,3,10.0,2021.0,280.0,Boîte automatique,,2.0,2245.0,381.0,,Électrique,,0.0
Très bon prix,10,Electrique/Essence,Professionnel,5.0,5.0,Porsche,Cayenne,12799015,3,1.0,2025.0,346.0,Boîte automatique,2995.0,3.0,2500.0,470.0,Euro 6d,Essence,,33.0
Pas d'information,86524,Essence,Professionnel,,2.0,Porsche,,1080005,0,6.0,2019.0,331.0,Boîte automatique,2981.0,3.0,,450.0,,Essence,,205.0
Pas d'information,108300,Essence,Professionnel,4.0,2.0,Porsche,911,344505,0,4.0,2004.0,235.0,Boîte manuelle,3596.0,2.0,1565.0,320.0,Euro 3,Essence,11.4,227.0
Bon prix,73600,Essence,Professionnel,2.0,2.0,Porsche,Boxster,329005,2,5.0,2009.0,155.0,Boîte manuelle,2893.0,1.0,1335.0,211.0,Euro 5,Essence,9.4,221.0
Pas d'information,37000,Essence,Professionnel,4.0,2.0,Porsche,911,1079005,0,2.0,2018.0,272.0,Boîte automatique,2981.0,2.0,1520.0,370.0,Euro 6b,,7.5,172.0
Pas d'information,184394,Electrique/Essence,Professionnel,4.0,5.0,Porsche,Panamera,2999015,0,7.0,2014.0,245.0,Boîte automatique,2995.0,2.0,2095.0,333.0,Euro 6b,Électrique,3.1,71.0
Prix correct,51020,Electrique/Essence,Professionnel,4.0,5.0,Porsche,Panamera,8790015,1,7.0,2021.0,340.0,Boîte automatique,2894.0,3.0,2265.0,462.0,Euro 6d,Essence,,47.0
Bon prix,4150,Electrique,Professionnel,5.0,5.0,Porsche,Macan,10690015,2,1.0,2025.0,300.0,Boîte automatique,,3.0,2295.0,408.0,,Électrique,,0.0
Pas d'information,55000,Essence,Professionnel,4.0,2.0,Porsche,991,999505,0,3.0,2019.0,272.0,Boîte automatique,2981.0,2.0,1595.0,370.0,Euro 6c,Essence,,172.0
Bon prix,6173,Essence,Professionnel,2.0,2.0,Porsche,718,689005,2,5.0,2022.0,220.0,Boîte automatique,1988.0,2.0,1440.0,299.0,Euro 6d,,8.1,202.0
Prix correct,12340,Electrique/Essence,Professionnel,5.0,5.0,Porsche,Cayenne,12390015,1,10.0,2023.0,346.0,Boîte automatique,2995.0,3.0,2500.0,470.0,Euro 6e,Essence,,35.0
Prix correct,7045,Electrique,Professionnel,5.0,5.0,Porsche,Macan,10790015,1,1.0,2025.0,300.0,Boîte automatique,,3.0,,408.0,,Électrique,,0.0
Bon prix,19532,Electrique,Professionnel,4.0,4.0,Porsche,Taycan,663905,2,9.0,2021.0,300.0,Boîte automatique,,3.0,2125.0,408.0,,Électrique,,0.0
Prix correct,7045,Electrique,Professionnel,5.0,5.0,Porsche,Macan,10790015,1,1.0,2025.0,300.0,Boîte automatique,,3.0,,408.0,,Électrique,,0.0
Prix correct,22952,Electrique/Essence,Professionnel,5.0,5.0,Porsche,Cayenne,12790015,1,1.0,2024.0,346.0,Boîte automatique,2995.0,3.0,2530.0,470.0,Euro 6e,Électrique,5.0,35.0
Prix correct,63450,Essence,Professionnel,2.0,2.0,Porsche,718,539955,1,4.0,2017.0,220.0,Boîte automatique,1988.0,2.0,1440.0,299.0,Euro 6b,Essence,6.9,158.0
Prix correct,75343,Essence,Professionnel,5.0,5.0,Porsche,Panamera,679005,1,4.0,2019.0,243.0,Boîte automatique,2995.0,2.0,1955.0,330.0,Euro 6b,Essence,7.8,178.0
Pas d'information,90,Essence,Professionnel,2.0,2.0,Porsche,992,35999515,0,9.0,2024.0,386.0,Boîte automatique,3996.0,3.0,1450.0,525.0,Euro 6e,Essence,,
Pas d'information,12233,Essence,Professionnel,4.0,2.0,Porsche,992,1729005,0,2.0,2023.0,331.0,Boîte automatique,2981.0,3.0,1675.0,450.0,Euro 6d,Essence,,244.0
Pas d'information,5500,Essence,Professionnel,2.0,,Porsche,911,38999515,0,5.0,2023.0,386.0,Boîte automatique,3996.0,3.0,,525.0,Euro 6d,Essence,,
Prix correct,9,Electrique/Essence,Professionnel,5.0,5.0,Porsche,Cayenne,15090015,1,,,346.0,Boîte automatique,2995.0,3.0,2130.0,470.0,Euro 6e,Électrique,,37.0
Pas d'information,17262,Essence,Professionnel,4.0,2.0,Porsche,911,1339905,0,1.0,2021.0,331.0,Boîte automatique,2981.0,3.0,1515.0,450.0,Euro 6d,Essence,,220.0
Pas d'information,48608,Essence,Professionnel,2.0,2.0,Porsche,Cayman,529905,0,4.0,2014.0,155.0,Boîte manuelle,2706.0,1.0,1385.0,211.0,Euro 5,Essence,8.2,192.0
Pas d'information,4500,Essence,Professionnel,4.0,2.0,Porsche,911,17790015,0,5.0,2024.0,353.0,Boîte automatique,2981.0,3.0,1774.0,480.0,Euro 6d,Essence,,250.0
Bon prix,1580,Essence,Professionnel,2.0,2.0,Porsche,718,7990015,2,4.0,2024.0,220.0,Boîte automatique,1988.0,2.0,1440.0,299.0,Euro 6d,Essence,,203.0
Pas d'information,6192,Essence,Professionnel,4.0,2.0,Porsche,992,1675005,0,11.0,2021.0,331.0,Boîte automatique,2981.0,3.0,1675.0,450.0,Euro 6d,,9.8,223.0
Prix correct,56154,Essence,Professionnel,5.0,5.0,Porsche,Macan,718505,1,2.0,2022.0,280.0,Boîte automatique,2894.0,2.0,2005.0,381.0,Euro 6d,,9.9,225.0
Prix correct,185031,Essence,Professionnel,2.0,2.0,Porsche,Cayman,299505,1,2.0,2010.0,195.0,Boîte automatique,2893.0,1.0,1360.0,265.0,Euro 5,Essence,9.1,214.0
Prix correct,7000,Electrique,Professionnel,,5.0,Porsche,Macan,10495015,1,9.0,2024.0,285.0,,,2.0,,387.0,,,,0.0
Pas d'information,13916,Essence,Professionnel,2.0,2.0,Porsche,911,1820005,0,6.0,2018.0,368.0,Boîte manuelle,3996.0,3.0,1488.0,500.0,Euro 6,,13.3,302.0
Prix correct,1281,Electrique/Essence,Professionnel,5.0,5.0,Porsche,Cayenne,13895015,1,5.0,2024.0,224.0,Boîte automatique,2995.0,2.0,2360.0,305.0,Euro 6,Électrique,3.2,75.0
Prix correct,6386,Electrique,Professionnel,5.0,5.0,Porsche,Taycan,11690015,1,9.0,2024.0,320.0,Boîte automatique,,3.0,2190.0,435.0,,Électrique,,0.0
Pas d'information,7850,Essence,Professionnel,4.0,2.0,Porsche,992,12890015,0,4.0,2022.0,283.0,Boîte automatique,2981.0,2.0,1580.0,385.0,,,9.4,215.0
Pas d'information,75200,Essence,Professionnel,2.0,2.0,Porsche,911,995005,0,9.0,2007.0,353.0,Boîte automatique,3600.0,3.0,1620.0,480.0,Euro 4,,13.7,328.0
Pas d'information,27468,Essence,Professionnel,4.0,5.0,Porsche,Panamera,795005,0,7.0,2019.0,243.0,Boîte automatique,2995.0,2.0,1815.0,330.0,Euro 6,,7.8,177.0
Bon prix,7300,Electrique,Professionnel,4.0,5.0,Porsche,Taycan,9100015,2,3.0,2023.0,350.0,Boîte automatique,,3.0,2250.0,476.0,Euro 6d,Électrique,,0.0
Pas d'information,60000,Essence,Professionnel,2.0,,Porsche,911,1650005,0,7.0,1993.0,184.0,Boîte automatique,3600.0,1.0,,250.0,,Essence,,
Pas d'information,9691,Electrique,Professionnel,5.0,4.0,Porsche,Macan,13990015,0,9.0,2024.0,470.0,Boîte automatique,,4.0,,639.0,,Électrique,,0.0
Bon prix,27,Electrique,Professionnel,5.0,5.0,Porsche,Macan,14418615,2,,,470.0,Boîte automatique,,4.0,2480.0,639.0,,Électrique,,0.0
Prix correct,119000,Diesel,Particuliers,5.0,5.0,Porsche,Cayenne,275001,1,10.0,2013.0,155.0,Boîte automatique,2967.0,1.0,2175.0,211.0,Euro 5,Diesel,7.4,
Pas d'information,57000,Essence,Particuliers,2.0,2.0,Porsche,993,85000,0,8.0,1995.0,200.0,,3600.0,2.0,,272.0,Euro 2,Essence,,
Bon prix,200600,Electrique/Essence,Particuliers,5.0,5.0,Porsche,Cayenne,26500,2,8.0,2016.0,245.0,Boîte automatique,2995.0,2.0,2350.0,333.0,Euro 6,Électrique,3.4,31.0
Bon prix,90000,Electrique/Essence,Particuliers,5.0,5.0,Porsche,Cayenne,725001,2,2.0,2022.0,340.0,Boîte automatique,2995.0,3.0,2295.0,462.0,Euro 6d,Essence,,56.0
Prix correct,110000,Electrique/Essence,Particuliers,4.0,5.0,Porsche,Panamera,36550,1,12.0,2014.0,306.0,Boîte automatique,2995.0,3.0,2095.0,416.0,,Électrique,,
Bon prix,57000,Essence,Particuliers,5.0,5.0,Porsche,Macan,650001,2,6.0,2021.0,280.0,Boîte automatique,2894.0,2.0,1910.0,381.0,Euro 6d,Essence,9.6,
Pas d'information,9400,Essence,Particuliers,2.0,2.0,Porsche,991,179000,0,12.0,2017.0,368.0,,,3.0,,500.0,,Essence,,
Bon prix,60000,Electrique,Particuliers,4.0,4.0,Porsche,Taycan,65000,2,3.0,2021.0,360.0,Boîte automatique,,3.0,2220.0,489.0,,,,0.0
Pas d'information,30237,Essence,Professionnel,4.0,2.0,Porsche,992,1099955,0,11.0,2019.0,283.0,Boîte automatique,2981.0,2.0,,385.0,Euro 6d,Essence,9.0,210.0
Prix correct,99274,Essence,Professionnel,5.0,5.0,Porsche,Panamera,6099015,1,9.0,2018.0,243.0,Boîte automatique,2995.0,2.0,,330.0,Euro 6,Essence,,180.0
Prix correct,18500,Electrique,Particuliers,4.0,4.0,Porsche,Taycan,96500,1,11.0,2022.0,440.0,Boîte automatique,,4.0,2370.0,598.0,,,,0.0
Bon prix,86000,Electrique,Particuliers,4.0,5.0,Porsche,Taycan,59000,2,6.0,2021.0,340.0,Boîte automatique,,3.0,2270.0,462.0,,,,0.0
Très bon prix,150685,Electrique/Essence,Particuliers,5.0,5.0,Porsche,Cayenne,489001,3,7.0,2018.0,340.0,Boîte automatique,2995.0,3.0,2350.0,462.0,Euro 6,Électrique,3.4,
Pas d'information,21000,Electrique,Particuliers,4.0,4.0,Porsche,Taycan,499901,0,12.0,2020.0,405.0,Boîte automatique,,4.0,2220.0,551.0,,Électrique,,0.0
Pas d'information,49250,Essence,Professionnel,2.0,2.0,Porsche,997,619005,0,3.0,2011.0,254.0,Boîte manuelle,3614.0,2.0,1490.0,345.0,Euro 5,Essence,,242.0
Très bon prix,40,Electrique,Professionnel,5.0,5.0,Porsche,Macan,10999015,3,1.0,2025.0,380.0,Boîte automatique,,3.0,2420.0,517.0,Euro 6d,Électrique,,0.0
Bon prix,49500,Essence,Professionnel,5.0,5.0,Porsche,Macan,624905,2,3.0,2022.0,195.0,Boîte automatique,1984.0,1.0,1920.0,265.0,Euro 6d,Essence,8.8,200.0
Bon prix,125000,Diesel,Professionnel,5.0,5.0,Porsche,Macan,335005,2,10.0,2015.0,190.0,Boîte automatique,2967.0,1.0,1880.0,258.0,Euro 6b,Diesel,6.3,164.0
Pas d'information,66000,Essence,Professionnel,4.0,2.0,Porsche,991,1099905,0,1.0,2018.0,331.0,Boîte automatique,2981.0,3.0,,450.0,Euro 6c,Essence,,192.0
Très bon prix,127500,Essence,Professionnel,2.0,2.0,Porsche,Boxster,199905,3,9.0,2004.0,155.0,Boîte manuelle,2687.0,1.0,1275.0,211.0,,,,233.0
Très bon prix,41500,Essence,Professionnel,4.0,5.0,Porsche,Panamera,6999015,3,2.0,2021.0,243.0,Boîte automatique,2894.0,2.0,1860.0,330.0,Euro 6d,,8.6,202.0
Très bon prix,75094,Diesel,Professionnel,4.0,4.0,Porsche,Panamera,6500015,3,2.0,2017.0,310.0,Boîte automatique,3956.0,3.0,,421.0,Euro 6,Diesel,,178.0
Pas d'information,102525,Essence,Professionnel,2.0,2.0,Porsche,996,369955,0,6.0,2000.0,221.0,Boîte manuelle,3387.0,2.0,1395.0,300.0,,Essence,11.8,
Pas d'information,12350,Essence,Professionnel,2.0,2.0,Porsche,718 Spyder,999005,0,5.0,2021.0,310.0,Boîte manuelle,3995.0,3.0,1420.0,421.0,Euro 6,Essence,,251.0
Pas d'information,3245,Electrique,Professionnel,5.0,4.0,Porsche,Macan,13990015,0,10.0,2024.0,470.0,Boîte automatique,,4.0,,639.0,,Électrique,,0.0
Très bon prix,155000,Essence,Professionnel,2.0,2.0,Porsche,Boxster,189905,3,1.0,2004.0,155.0,Boîte manuelle,2687.0,1.0,1275.0,211.0,,,,233.0
Pas d'information,217490,Essence,Professionnel,4.0,2.0,Porsche,996,259905,0,5.0,2001.0,221.0,Boîte automatique,3387.0,2.0,1440.0,300.0,Euro 3,Essence,12.0,
Pas d'information,4950,Essence,Professionnel,2.0,2.0,Porsche,992,1959505,0,3.0,2022.0,375.0,Boîte automatique,3996.0,3.0,1435.0,510.0,Euro 6d,Essence,12.4,283.0
Bon prix,156582,Essence,Professionnel,4.0,2.0,Porsche,997,444905,2,5.0,2006.0,261.0,Boîte manuelle,3824.0,2.0,1420.0,355.0,Euro 4,Essence,11.5,277.0
Pas d'information,3310,Essence,Professionnel,2.0,2.0,Porsche,992,45490015,0,9.0,2024.0,386.0,Boîte manuelle,3996.0,3.0,1355.0,525.0,Euro 6,Essence,,313.0
Pas d'information,87550,Essence,Professionnel,4.0,2.0,Porsche,992,1349005,0,3.0,2022.0,353.0,Boîte automatique,2981.0,3.0,1605.0,480.0,Euro 6,Essence,,246.0
Pas d'information,13995,Essence,Professionnel,2.0,2.0,Porsche,992,1999905,0,2.0,2022.0,375.0,Boîte automatique,3996.0,3.0,1435.0,510.0,Euro 6d,,12.4,283.0
Pas d'information,7415,Essence,Professionnel,2.0,2.0,Porsche,991,2249005,0,9.0,2019.0,383.0,Boîte automatique,3396.0,3.0,1430.0,521.0,Euro 6,Essence,,303.0
Prix correct,36490,Essence,Professionnel,2.0,2.0,Porsche,Boxster,649905,1,6.0,2019.0,220.0,Boîte automatique,1988.0,2.0,1455.0,299.0,Euro 6d,Essence,8.1,185.0
Pas d'information,104000,Essence,Professionnel,4.0,2.0,Porsche,911,459005,0,11.0,2005.0,261.0,Boîte automatique,3824.0,2.0,1515.0,355.0,Euro 4,,11.9,286.0
Prix correct,44000,Essence,Particuliers,5.0,5.0,Porsche,Macan,52000,1,3.0,2019.0,180.0,Boîte automatique,1984.0,1.0,1795.0,245.0,Euro 6d,Essence,8.2,186.0
Prix correct,146098,Essence,Professionnel,4.0,5.0,Porsche,Panamera,519505,1,4.0,2017.0,243.0,Boîte automatique,2995.0,2.0,1815.0,330.0,Euro 6b,Essence,7.5,177.0
Bon prix,22000,Electrique,Professionnel,5.0,5.0,Porsche,Taycan,8399915,2,4.0,2022.0,420.0,Boîte automatique,,4.0,2250.0,571.0,Euro 6,Électrique,,0.0
Bon prix,10,Electrique,Professionnel,5.0,5.0,Porsche,Macan,9999015,2,1.0,2025.0,300.0,Boîte automatique,,3.0,2405.0,408.0,Euro 6,Électrique,,0.0
